,Unnamed: 0,id,date,x_m_L72,y_m_L72,top_m_mv,basis_m_mv,parameter,detection_condition,value,unit,source,error_sum_parameter,error_detection_condition,error_unrealistic_unit,error_top,error_basis
0,9990,31817859,2021-07-13,148749.0,210535.0,2.0,3.0,PFAS Som kwantitatief,=,1312.0,ng/l,OVAM,Sum parameter,,,,
1,16412,32064763,2021-09-10,206596.0,193618.0,2.6,3.6,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
2,16509,32064862,2021-09-10,206612.0,193703.0,1.25,2.25,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
3,16546,32064939,2021-09-10,206565.0,193662.0,2.0,3.0,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
4,16566,32064959,2022-01-12,206565.0,193662.0,2.0,3.0,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
5,20663,32214493,2021-07-23,209488.0,194310.0,2.0,3.0,EU DWRL-20,=,580822.0,ng/l,OVAM,Sum parameter,,,,
6,20684,32214716,2021-07-23,209525.0,194275.0,2.0,3.0,EU DWRL-20,=,430129.0,ng/l,OVAM,Sum parameter,,,,
7,20736,32214849,2021-07-23,209514.0,194291.0,2.0,3.0,EU DWRL-20,=,275807.0,ng/l,OVAM,Sum parameter,,,,
8,21350,32271904,2022-07-22,137806.41,184685.55,3.8,4.8,PFAS Som indicatief,<,60.0,µg/kg,OVAM,Sum parameter,,Unrealistic unit,,
9,21357,32271911,2022-07-22,137806.41,184685.55,3.8,4.8,PFAS Som kwantitatief,=,96216.2,µg/kg,OVAM,Sum parameter,,Unrealistic unit,,
10,21378,32272090,2022-07-22,137806.41,184685.55,0.0,0.0,PFAS Som indicatief,<,60.0,µg/kg,OVAM,Sum parameter,,Unrealistic unit,,
11,21392,32272104,2022-07-22,137806.41,184685.55,0.0,0.0,PFAS Som kwantitatief,=,7591.0,µg/kg,OVAM,Sum parameter,,Unrealistic unit,,
12,21422,32272134,2022-07-22,137789.45,184712.52,4.6,5.6,PFAS Som indicatief,<,60.0,µg/kg,OVAM,Sum parameter,,Unrealistic unit,,
