,Unnamed: 0,id,date,x_m_L72,y_m_L72,top_m_mv,basis_m_mv,parameter,detection_condition,value,unit,source,error_date,error_sum_parameter,error_detection_condition,error_unrealistic_unit
0,1275,ATL-S13,,147641.0,213144.0,0.0,0.0,totaal PFAS,=,590.2,µg/kg ds,Lantis,No date,Sum parameter,,
1,1276,ATL-S13,,147641.0,213144.0,0.0,0.0,totaal PFAS kwantitatief,=,590.2,µg/kg ds,Lantis,No date,Sum parameter,,
2,1277,ATL-S13,,147641.0,213144.0,0.0,0.0,totaal PFAS indicatief,=,0.0,µg/kg ds,Lantis,No date,Sum parameter,,
3,1278,ATL-S13,,147641.0,213144.0,0.0,0.0,som PFOA,=,106.0,µg/kg ds,Lantis,No date,,,
4,1279,ATL-S13,,147641.0,213144.0,0.0,0.0,som PFOS,=,458.0,µg/kg ds,Lantis,No date,,,
5,1280,ATL-S13,,147641.0,213144.0,0.0,0.0,PFTeDA,<,2.05,µg/kg ds,Lantis,No date,,,
6,1281,ATL-S13,,147641.0,213144.0,0.0,0.0,PFHxS,=,26.2,µg/kg ds,Lantis,No date,,,
7,1282,ATL-S13,,147641.0,213144.0,0.0,0.0,PFOSA,<,2.05,µg/kg ds,Lantis,No date,,,
8,2490,ATL-S15,,147514.0,213168.0,0.0,0.0,totaal PFAS,=,1127.7,µg/kg ds,Lantis,No date,Sum parameter,,
9,2491,ATL-S15,,147514.0,213168.0,0.0,0.0,totaal PFAS kwantitatief,=,1127.7,µg/kg ds,Lantis,No date,Sum parameter,,
10,2492,ATL-S15,,147514.0,213168.0,0.0,0.0,totaal PFAS indicatief,=,0.0,µg/kg ds,Lantis,No date,Sum parameter,,
11,2493,ATL-S15,,147514.0,213168.0,0.0,0.0,som PFOA,=,80.4,µg/kg ds,Lantis,No date,,,
12,2494,ATL-S15,,147514.0,213168.0,0.0,0.0,som PFOS,=,1020.0,µg/kg ds,Lantis,No date,,,
13,2495,ATL-S15,,147514.0,213168.0,0.0,0.0,PFTeDA,<,2.15,µg/kg ds,Lantis,No date,,,
14,2496,ATL-S15,,147514.0,213168.0,0.0,0.0,PFHxS,=,27.3,µg/kg ds,Lantis,No date,,,
15,2497,ATL-S15,,147514.0,213168.0,0.0,0.0,PFOSA,<,2.15,µg/kg ds,Lantis,No date,,,
16,4249,S11bis,,152222.9888,214669.1366,0.2,1.2,totaal PFAS,=,79.95,µg/kg ds,Lantis,No date,Sum parameter,,
17,4250,S11bis,,152222.9888,214669.1366,0.2,1.2,totaal PFAS kwantitatief,=,79.95,µg/kg ds,Lantis,No date,Sum parameter,,
18,4251,S11bis,,152222.9888,214669.1366,0.2,1.2,totaal PFAS indicatief,=,0.0,µg/kg ds,Lantis,No date,Sum parameter,,
19,4252,S11bis,,152222.9888,214669.1366,0.2,1.2,som PFOA,=,14.4,µg/kg ds,Lantis,No date,,,
20,4253,S11bis,,152222.9888,214669.1366,0.2,1.2,som PFOS,=,61.3,µg/kg ds,Lantis,No date,,,
21,4254,S11bis,,152222.9888,214669.1366,0.2,1.2,PFTeDA,<,2.04,µg/kg ds,Lantis,No date,,,
22,4255,S11bis,,152222.9888,214669.1366,0.2,1.2,PFHxS,=,4.25,µg/kg ds,Lantis,No date,,,
23,4256,S11bis,,152222.9888,214669.1366,0.2,1.2,PFOSA,<,2.04,µg/kg ds,Lantis,No date,,,
24,5957,ATL-S7,,148287.0,213155.0,0.0,0.5,totaal PFAS,=,308.64,µg/kg ds,Lantis,No date,Sum parameter,,
