;projectdeel;peilbuis;filter_van_m;filter_tot_m;nummer;analysemonster;datum_bemonstering;gegevens;parameter;detectieconditie;waarde;eenheid;x_ml72;y_ml72
0;R1O1;PBC3;;14,9;182;PBC3;2022/02/04;RoTS/WiBo;PFHxS;=;5;ng/l;154735,9568;213286,1045
1;R1O1;P406;4,1;6,1;88;LD_406;2021/09/23;RoTS/WiBo;8:2 FTS;<;2;ng/l;154457,34;213702
2;KZ;StadAnt_280;3,4;4,4;248;StadAnt_280-1-1 StadAnt_280;2022/01/25;RoTS/Sweco;PFHxDA;<;1;ng/l;152803,81;214595,2
3;R1O1;P402a;9,1;10,1;77;LD_402a;2021/08/19;RoTS/WiBo;10:2 FTS;<;4;ng/l;154374,47;213884,06
4;STLO;PFAS-Diep-PB5;21;23;195;PFAS-Diep-PB5-1-2 PFAS-Diep-PB5;2021/12/08;RoTS/Sweco;PFHxDA;<;1;ng/l;149800,9086;214023,7081
5;R1N;R1N003B;5,5;6,5;219;R1N003B-1-1;2021/10/11;RoTS/Sweco;totaal PFAS;=;163;ng/l;154350,75;216494,2
6;R1O2;PFC3B-PB7;2,5;4,5;215;PFC3B-PB7-1-1;2022/07/22;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;155178,1418;213420,0521
7;STRO;PFAS-Diep-PB7;18;20;199;PFAS-DIEP-PB7-1-1;2021/10/19;RoTS/Sweco;MePFOSAA;<;1;ng/l;150789,3919;214624,6651
8;STLO;PFAS-Diep-PB3;17;18;191;PBSweco3d-1;2022/09/27;TM COTU;PFBA;=;2500;ng/l;149612,878;213745,3665
9;R1O1;PB6-SHS;10;15;171;PB6-SHS;31/02/2022;RoTS/WiBo;EtPFOSAA;=;1;ng/l;154254,1905;213849,3676
10;R1O1;P407;4,1;6,1;90;LD_407;2021/09/23;RoTS/WiBo;PFHpS;<;1;ng/l;154622,85;213522,79
11;R1O2;PFC3B-PB11003;15;17;204;PFC3B-PB11003-1-1 PFC3B-PB11003;2022/03/22;RoTS/Sweco;10:2 FTS;<;4;ng/l;155264,7005;213281,1068
12;R1O1;PBC1;;15;180;PBC1;2022/02/04;RoTS/WiBo;PFECHS;<;1;ng/l;154571,36;213239,6112
13;OWK;PB236B;;;149;PB236B-1-1 PB236B;2021/12/02;RoTS/Sweco;PFOSA;<;1;ng/l;151168,171;214556,146
14;R1N;PB05C;;;108;PB05C-1-1;2021/10/11;RoTS/Sweco;PFOA lineair;=;4;ng/l;153964,46;215707,51
15;R1O1;R1Z011B;7;8;236;R1Z011B;2021/11/17;RoTS/WiBo;EtPFOSA;<;4;ng/l;154244,68;213832,79
16;R1N;PB05A;;;106;PB05A-1-1;2021/10/11;RoTS/Sweco;EtPFOSAA;<;1;ng/l;153964,42;215707,57
17;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;PFUnDS;<;1;ng/l;155177,9764;213420,7135
18;R1N;PB1004;2;3;119;OBO-TS-PB1004;2021/11/30;RoTS/Sweco;PFPeA;=;24;ng/l;153865;214461
19;R1N;PB05C;;;108;PB05C-1-1;2021/10/11;RoTS/Sweco;PFNA;<;1;ng/l;153964,46;215707,51
20;R1O2;R1Z013B;7,5;8,5;239;R1Z013B-1-1;2021/10/11;RoTS/Sweco;PFOS lineair;=;12;ng/l;155836,9;212073,38
21;OWK;PB236B;;;149;PB236B-1-1 PB236B;2021/12/02;RoTS/Sweco;PFDoDS;<;1;ng/l;151168,171;214556,146
22;R1N;R1N003A;2,5;3,5;218;R1N003A-1-1;2021/10/11;RoTS/Sweco;PFDA;<;1;ng/l;154351,21;216493,89
23;STLO;PFAS-Diep-PB4;18;20;192;PFAS-DIEP-PB4-1-1;2021/10/19;RoTS/Sweco;6:2 FTS;<;1;ng/l;149716,7329;213884,3736
24;R1O1;PBC3;;14,9;182;PBC3;2022/02/04;RoTS/WiBo;PFODA;<;2;ng/l;154735,9568;213286,1045
25;R1N;PB2C;;;156;PB2C-1-1;2021/10/11;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;154047,4;216277,67
26;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;totaal PFAS;=;64;ng/l;155177,9764;213420,7135
27;R1N;PB222A;3,5;4,5;145;PB222A-1-1;2021/10/11;RoTS/Sweco;6:2 FTS;<;1;ng/l;154172,71;215098,1
28;OWK;PB1;4,2;6,2;112;PB1-2732;2021/09/07;aMT;6:2 diPAP;<;10;ng/l;152428,3681;214534,5674
29;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;PFTeDA;<;1;ng/l;155177,9764;213420,7135
30;R1O2;R1Z017B;6,5;7,5;245;R1Z017B-1-1;2021/10/11;RoTS/Sweco;PFDS;<;1;ng/l;155178,65;212863,38
31;R1O1;P401;4,1;6,1;75;LD_401;2021/08/19;RoTS/WiBo;6:2 FTS;<;25;ng/l;154978,68;213345,1
32;R1O1;PBA1;;7,1;176;PBA1;2022/02/04;RoTS/WiBo;totaal PFAS;=;84;ng/l;154416,9169;213361,4556
