,Unnamed: 0,id,date,x_m_L72,y_m_L72,top_m_mv,basis_m_mv,parameter,detection_condition,value,unit,source,error_date,error_sum_parameter,error_detection_condition,error_unrealistic_unit,error_top,error_basis
0,9,PB6-SHS,31/02/2022,154254.1905,213849.3676,10.0,15.0,EtPFOSAA,=,1.0,ng/l,Lantis,Unrealistic date,,,,,
1,33,PB3-SHS,31/02/2022,154575.1009,213251.9026,10.0,15.0,PFDoDA,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
2,89,PB5-SHS,31/02/2022,154386.1886,213587.2418,10.0,15.0,8:2 FTS,=,1.0,ng/l,Lantis,Unrealistic date,,,,,
3,140,PB2-SHS,31/02/2022,154412.3745,213417.5682,10.0,15.0,MePFOSA,<,2.0,ng/l,Lantis,Unrealistic date,,,,,
4,157,PB1-SHS,31/02/2022,154573.6313,213488.5105,10.0,15.0,PFHxS,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
5,193,PB6-SHS,31/02/2022,154254.1905,213849.3676,10.0,15.0,PFOSA,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
6,236,PB4-SHS,31/02/2022,154737.56,213281.8292,10.0,15.0,som PFOS,=,230.0,ng/l,Lantis,Unrealistic date,,,,,
7,269,PB5-SHS,31/02/2022,154386.1886,213587.2418,10.0,15.0,som PFAS indicatief,=,0.0,ng/l,Lantis,Unrealistic date,Sum parameter,,,,
8,286,PB2-SHS,31/02/2022,154412.3745,213417.5682,10.0,15.0,PFTeDA,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
9,306,PB6-SHS,31/02/2022,154254.1905,213849.3676,10.0,15.0,PFHpS,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
10,320,PB5-SHS,31/02/2022,154386.1886,213587.2418,10.0,15.0,PFOS lineair,=,1.0,ng/l,Lantis,Unrealistic date,,,,,
11,321,PB4-SHS,31/02/2022,154737.56,213281.8292,10.0,15.0,PFDoDA,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
12,327,PB2-SHS,31/02/2022,154412.3745,213417.5682,10.0,15.0,PFODA,<,2.0,ng/l,Lantis,Unrealistic date,,,,,
13,337,PB3-SHS,31/02/2022,154575.1009,213251.9026,10.0,15.0,PFHxS,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
14,390,PB3-SHS,31/02/2022,154575.1009,213251.9026,10.0,15.0,PFOS lineair,=,1.0,ng/l,Lantis,Unrealistic date,,,,,
15,392,PB6-SHS,31/02/2022,154254.1905,213849.3676,10.0,15.0,HPFO-DA,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
16,405,PB5-SHS,31/02/2022,154386.1886,213587.2418,10.0,15.0,PFHxA,=,97.0,ng/l,Lantis,Unrealistic date,,,,,
17,444,PB3-SHS,31/02/2022,154575.1009,213251.9026,10.0,15.0,PFECHS,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
18,454,PB3-SHS,31/02/2022,154575.1009,213251.9026,10.0,15.0,6:2 diPAP,<,10.0,ng/l,Lantis,Unrealistic date,,,,,
19,478,PB4-SHS,31/02/2022,154737.56,213281.8292,10.0,15.0,PFHpS,=,4.0,ng/l,Lantis,Unrealistic date,,,,,
20,498,PB1-SHS,31/02/2022,154573.6313,213488.5105,10.0,15.0,EtPFOSAA,=,2.0,ng/l,Lantis,Unrealistic date,,,,,
21,500,PB6-SHS,31/02/2022,154254.1905,213849.3676,10.0,15.0,som PFAS indicatief,=,0.0,ng/l,Lantis,Unrealistic date,Sum parameter,,,,
22,518,PB2-SHS,31/02/2022,154412.3745,213417.5682,10.0,15.0,PFHpA,<,1.0,ng/l,Lantis,Unrealistic date,,,,,
